src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.10.10,173.194.76.127,41252,19302,17,2023-03-07 17:42:22,10172312.021255493,19.464601516967853,0.2949182048025432,0.19661213653502882,0.09830606826751441,2,1,124,74,62.0,62.0,62.0,0.0,74.0,74.0,74.0,0.0,74,62,66.0,5.656854249492381,32.0,16,8,8,2,5086156.010627747,10000434.875488281,171877.1457672119,4914278.864860535,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,66.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,74.0,0,2,1,124,74
192.168.10.10,173.194.76.127,34611,19302,17,2023-03-07 17:42:22,10182783.126831055,19.444585781099594,0.2946149360772666,0.1964099573848444,0.0982049786924222,2,1,124,74,62.0,62.0,62.0,0.0,74.0,74.0,74.0,0.0,74,62,66.0,5.656854249492381,32.0,16,8,8,2,5091391.563415527,10000437.021255493,182346.10557556152,4909045.457839966,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,66.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,74.0,0,2,1,124,74
192.168.10.10,173.194.76.127,42985,19302,17,2023-03-07 17:42:22,10172806.978225708,19.463654468605107,0.2949038555849258,0.19660257038995055,0.09830128519497527,2,1,124,74,62.0,62.0,62.0,0.0,74.0,74.0,74.0,0.0,74,62,66.0,5.656854249492381,32.0,16,8,8,2,5086403.489112854,10000442.98171997,172363.9965057373,4914039.492607117,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,66.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,74.0,0,2,1,124,74
192.168.10.10,138.199.14.78,53466,443,6,2023-03-07 17:42:30,3376141.7865753174,39.09788401804589,0.5923921820916044,0.5923921820916044,0.0,2,0,132,0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,66,66,66.0,0.0,0.0,40,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,66.0,501,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0,2,0,132,0
192.168.10.10,13.232.67.199,34538,443,6,2023-03-07 17:42:28,5839691.162109375,87.67586945729143,0.5137257976013169,0.17124193253377232,0.34248386506754463,1,2,66,446,66.0,66.0,66.0,0.0,380.0,66.0,223.0,157.0,380,66,170.66666666666666,148.02101952838393,21910.22222222222,20,40,20,0,2919845.5810546875,5758010.149002075,81681.0131072998,2838164.5679473877,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,2.0,170.66666666666666,501,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,223.0,0,1,2,66,446
13.232.67.199,192.168.10.10,443,38108,6,2023-03-07 17:42:28,5754961.013793945,77.49835297424117,0.34752624652126085,0.34752624652126085,0.0,2,0,446,0,380.0,66.0,223.0,157.0,0.0,0.0,0.0,0.0,380,66,223.0,157.0,24649.0,40,0,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,223.0,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,0.0,0,2,0,446,0
192.168.10.10,13.232.67.199,42040,443,6,2023-03-07 17:42:28,5840320.825576782,110.26791493708728,0.8561173519960192,0.3424469407984077,0.5136704111976116,2,3,132,512,66.0,66.0,66.0,0.0,380.0,66.0,170.66666666666666,148.02101952838393,380,66,128.8,125.60000000000001,15775.36,40,60,20,0,1460080.2063941956,5529595.851898193,35.04753112792969,2350959.1675235247,0,0.0,0.0,0.0,0.0,5758045.91178894,5529630.899429321,228415.01235961914,2879022.95589447,2650607.943534851,0,0,0,0,1,0,0,0,0,0,0,1.5,128.8,501,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,170.66666666666666,0,2,3,132,512
192.168.10.10,13.232.67.199,34538,443,6,2023-03-07 17:42:34,1328477.8594970703,728.6534683885974,2.2582235590555704,0.7527411863518567,1.5054823727037134,1,2,836,132,836.0,836.0,836.0,0.0,66.0,66.0,66.0,0.0,836,66,322.6666666666667,362.98148100909435,131755.5555555555,20,40,20,1,664238.9297485352,1247411.9663238525,81065.89317321777,583173.0365753174,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,2.0,322.6666666666667,501,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836.0,66.0,0,1,2,836,132
142.250.181.42,192.168.10.10,443,60873,17,2023-03-07 17:42:21,15005084.037780762,20.72630844432089,0.19993223579730762,0.06664407859910254,0.13328815719820508,1,2,161,150,161.0,161.0,161.0,0.0,75.0,75.0,75.0,0.0,161,75,103.66666666666667,40.54078878802873,1643.5555555555557,8,16,8,1,7502542.018890381,14984872.102737427,20211.93504333496,7482330.083847046,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,2.0,103.66666666666667,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,75.0,0,1,2,161,150
192.168.10.10,142.250.181.142,44343,443,17,2023-03-07 17:42:26,12035421.133041382,190.35478482015182,0.9970569261640427,0.4154403859016845,0.5816165402623582,5,7,545,1746,238.0,75.0,109.0,64.53836068571931,669.0,68.0,249.42857142857142,265.6172633927338,669,68,190.91666666666666,218.36722065263265,47684.24305555556,40,56,8,5,1094129.1939128528,11596677.06489563,0.0,3322071.123620427,421643.0187225342,276229.8583984375,19641.16096496582,105410.75468063354,101479.72893432523,11970246.076583862,11596677.06489563,0.0,1995041.012763977,4295221.25702836,0,0,0,0,1,0,0,0,0,0,0,1.4,190.91666666666666,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,249.42857142857142,0,5,7,545,1746
